absEta_0_1-R9_0.000_0.400-gainEle_12         runNumber  273158  273445  1.0067  0.0026  0.0007  0.0025  0.0000
absEta_0_1-R9_0.000_0.400-gainEle_6          runNumber  273158  273445  1.0021  0.0035  0.0009  0.0025  0.0023
absEta_0_1-R9_0.000_0.400-gainEle_1          runNumber  273158  273445  0.9845  0.0115  0.0018  0.0025  0.0111
absEta_0_1-R9_0.400_0.500-gainEle_12         runNumber  273158  273445  1.0066  0.0012  0.0003  0.0012  0.0000
absEta_0_1-R9_0.400_0.500-gainEle_6          runNumber  273158  273445  1.0020  0.0027  0.0006  0.0012  0.0023
absEta_0_1-R9_0.400_0.500-gainEle_1          runNumber  273158  273445  0.9844  0.0112  0.0016  0.0012  0.0111
absEta_0_1-R9_0.500_0.600-gainEle_12         runNumber  273158  273445  1.0058  0.0007  0.0003  0.0006  0.0000
absEta_0_1-R9_0.500_0.600-gainEle_6          runNumber  273158  273445  1.0012  0.0024  0.0006  0.0006  0.0023
absEta_0_1-R9_0.500_0.600-gainEle_1          runNumber  273158  273445  0.9836  0.0112  0.0016  0.0006  0.0111
absEta_0_1-R9_0.600_0.700-gainEle_12         runNumber  273158  273445  1.0051  0.0005  0.0003  0.0004  0.0000
absEta_0_1-R9_0.600_0.700-gainEle_6          runNumber  273158  273445  1.0005  0.0024  0.0006  0.0004  0.0023
absEta_0_1-R9_0.600_0.700-gainEle_1          runNumber  273158  273445  0.9829  0.0112  0.0016  0.0004  0.0111
absEta_0_1-R9_0.700_0.800-gainEle_12         runNumber  273158  273445  1.0044  0.0004  0.0002  0.0004  0.0000
absEta_0_1-R9_0.700_0.800-gainEle_6          runNumber  273158  273445  0.9998  0.0024  0.0005  0.0004  0.0023
absEta_0_1-R9_0.700_0.800-gainEle_1          runNumber  273158  273445  0.9822  0.0112  0.0016  0.0004  0.0111
absEta_0_1-R9_0.800_0.900-gainEle_12         runNumber  273158  273445  1.0038  0.0004  0.0002  0.0004  0.0000
absEta_0_1-R9_0.800_0.900-gainEle_6          runNumber  273158  273445  0.9992  0.0024  0.0005  0.0004  0.0023
absEta_0_1-R9_0.800_0.900-gainEle_1          runNumber  273158  273445  0.9816  0.0112  0.0016  0.0004  0.0111
absEta_0_1-R9_0.900_0.920-gainEle_12         runNumber  273158  273445  1.0034  0.0004  0.0003  0.0003  0.0000
absEta_0_1-R9_0.900_0.920-gainEle_6          runNumber  273158  273445  0.9988  0.0024  0.0006  0.0003  0.0023
absEta_0_1-R9_0.900_0.920-gainEle_1          runNumber  273158  273445  0.9812  0.0112  0.0016  0.0003  0.0111
absEta_0_1-R9_0.920_0.940-gainEle_12         runNumber  273158  273445  1.0033  0.0003  0.0002  0.0002  0.0000
